#startdate:23.10.2020 14.12.17
#measoffset:0
#measdevice:GT900IP_USB3
#measapi:1.7.0
#xtitel:timestamp (s)
#xtitel:offset (ns)
#yscale:0
#legend:pps A-B
#color:blue
#marker:0
#subplot:0
#colsplit:,
#rowsplit:;
#measname:Default config done by application
1,8.34148888850805E-09;
2,8.34608893107713E-09;
3,8.35288888056951E-09;
4,8.35248892272489E-09;
5,8.35068891813506E-09;
6,8.34328894860903E-09;
7,8.3472889156333E-09;
8,8.34888891354524E-09;
9,8.35128893816872E-09;
10,8.34708890895541E-09;
11,8.35048891145718E-09;
12,8.34828889351158E-09;
13,8.34128888183017E-09;
14,8.34468888433193E-09;
15,8.3500888981014E-09;
16,8.34588892439925E-09;
17,8.34628888224387E-09;
18,8.34848890018947E-09;
19,8.34468893984308E-09;
20,8.34768892898907E-09;
21,8.34768887347792E-09;
22,8.34688890227753E-09;
23,8.35208890936912E-09;
24,8.34448887765404E-09;
25,8.34468888433193E-09;
26,8.34408891980942E-09;
27,8.35128888265757E-09;
28,8.34508895319885E-09;
29,8.34468888433193E-09;
30,8.34648894443291E-09;
31,8.35108887597968E-09;
32,8.34588892439925E-09;
33,8.34328889309788E-09;
34,8.34748886680003E-09;
35,8.35408886512568E-09;
36,8.33908886388457E-09;
37,8.3472889156333E-09;
38,8.34308888641999E-09;
39,8.34708890895541E-09;
40,8.34908886471197E-09;
41,8.34608893107713E-09;
42,8.34848890018947E-09;
43,8.34748886680003E-09;
44,8.34928887138986E-09;
45,8.34708885344426E-09;
46,8.33508895237145E-09;
47,8.3486889623785E-09;
48,8.34988889142352E-09;
49,8.3422889152196E-09;
50,8.3422889152196E-09;
51,8.34908886471197E-09;
52,8.34608887556598E-09;
53,8.35028884926814E-09;
54,8.33928887056246E-09;
55,8.34948887806775E-09;
56,8.35068886262391E-09;
57,8.34068891730766E-09;
58,8.34288893525326E-09;
59,8.34928887138986E-09;
60,8.3372889148059E-09;
61,8.35148894484661E-09;
62,8.34488889100982E-09;
63,8.35528890519299E-09;
64,8.35168889601334E-09;
65,8.33928887056246E-09;
