#startdate:23.10.2020 14.12.17
#measoffset:0
#measdevice:GT900IP_USB3
#measapi:1.7.0
#xtitel:timestamp (s)
#xtitel:offset (ns)
#yscale:0
#legend:pps A-B
#color:blue
#marker:0
#subplot:0
#colsplit:,
#rowsplit:;
#measname:Default config done by application
1.000 8.34148888850805E-09
2.000 8.34608893107713E-09
3.000 8.35288888056951E-09
4.000 8.35248892272489E-09
5.000 8.35068891813506E-09
6.000 8.34328894860903E-09
7.000 8.3472889156333E-09
8.000 8.34888891354524E-09
9.000 8.35128893816872E-09
10.000 8.34708890895541E-09
11.000 8.35048891145718E-09
12.000 8.34828889351158E-09
13.000 8.34128888183017E-09
14.000 8.34468888433193E-09
15.000 8.3500888981014E-09
16.000 8.34588892439925E-09
17.000 8.34628888224387E-09
18.000 8.34848890018947E-09
19.000 8.34468893984308E-09
20.000 8.34768892898907E-09
21.000 8.34768887347792E-09
22.000 8.34688890227753E-09
23.000 8.35208890936912E-09
24.000 8.34448887765404E-09
25.000 8.34468888433193E-09
26.000 8.34408891980942E-09
27.000 8.35128888265757E-09
28.000 8.34508895319885E-09
29.000 8.34468888433193E-09
30.000 8.34648894443291E-09
31.000 8.35108887597968E-09
32.000 8.34588892439925E-09
33.000 8.34328889309788E-09
34.000 8.34748886680003E-09
35.000 8.35408886512568E-09
36.000 8.33908886388457E-09
37.000 8.3472889156333E-09
38.000 8.34308888641999E-09
39.000 8.34708890895541E-09
40.000 8.34908886471197E-09
41.000 8.34608893107713E-09
42.000 8.34848890018947E-09
43.000 8.34748886680003E-09
44.000 8.34928887138986E-09
45.000 8.34708885344426E-09
46.000 8.33508895237145E-09
47.000 8.3486889623785E-09
48.000 8.34988889142352E-09
49.000 8.3422889152196E-09
50.000 8.3422889152196E-09
51.000 8.34908886471197E-09
52.000 8.34608887556598E-09
53.000 8.35028884926814E-09
54.000 8.33928887056246E-09
55.000 8.34948887806775E-09
56.000 8.35068886262391E-09
57.000 8.34068891730766E-09
58.000 8.34288893525326E-09
59.000 8.34928887138986E-09
60.000 8.3372889148059E-09
61.000 8.35148894484661E-09
62.000 8.34488889100982E-09
63.000 8.35528890519299E-09
64.000 8.35168889601334E-09
65.000 8.33928887056246E-09
